name,smiles
CHEMBL419451,C=CCN1C(=O)OC2(CCN(C)CC2)C1=O
CHEMBL77533,CCOC(=O)N(C)CC#CCN1CCCC1
CHEMBL76067,COC(=O)N(C)C(C)C#CCN1CCCC1
AP-7,NC(CCCCCP(=O)(O)O)C(=O)O
CHEMBL50541,CCOC(=O)c1[nH]c(C)c(C(=O)OC)c1C
CHEMBL295141,CCOC(=O)c1ncn2c1N=C(S)CC2
CHEMBL69883,CC(C)(CN)CCC(C(=O)O)c1c[nH]cn1
CHEMBL282364,NC(CS)Cc1ccc(CC(=O)O)cc1
CHEMBL71880,COC(=O)Nc1nc2cc(Cl)ccc2[nH]1
CHEMBL58163,O=C1CC(C(=O)O)Nc2cc(Cl)ccc21
CHEMBL36962,O=C(O)Cc1cc(Cl)c2c(c1)CCCN2
CHEMBL37201,CCOC(=O)CSC(=O)NCCCl
CHEMBL75499,COC(=O)c1[nH]ccc2c3ccccc3nc1-2
CHEMBL273753,O=C(O)c1ccc(/N=N/c2ccccc2)cc1
CHEMBL18545,NCCC(=O)NC(Cc1c[nH]cn1)C(=O)O
CHEMBL17693,CCCCCOC(=O)N1N=C(C)N=NC1C
CHEMBL17335,CCCC1=NN(C(=O)OC)C(CCC)N=N1
CHEMBL18179,CC1=NN(C(=O)OCCC(C)C)C(C)N=N1
CHEMBL51843,CSC(CP(=O)(O)C(C)N)C(=O)O
CHEMBL59867,CO/N=C(\C#N)C(=O)NC(=O)OC(C)(C)C
CHEMBL12816,O=C(O)c1ccc2c(c1)Nc1ccccc1O2
CHEMBL289109,CC(=O)OCCc1nc(C)n(C)c1[N+](=O)[O-]
CHEMBL274905,O=C(O)c1cccc2c1Nc1ccccc1O2
CHEMBL40524,CCOC(=O)N1CCC2(CC1)CC(=O)CO2
CHEMBL32051,O=C(O)c1ccc(NCc2ccccc2)cc1
CHEMBL23479,Cc1cccc(Nc2ccccc2C(=O)O)c1
CHEMBL62956,NCC(CCC(=O)O)c1ccc(Cl)cc1
CHEMBL70516,O=C(O)Cc1cccc(Nc2ccccn2)c1
CHEMBL31554,O=C(O)c1ccc(NCc2ccccc2)cn1
CHEMBL10339,CCCCc1c(O)noc1CC(N)C(=O)O
CHEMBL73365,O=C(O)Cc1ccc(Nc2ccccn2)cc1
OZAGREL,O=C(O)/C=C/c1ccc(Cn2ccnc2)cc1
CHEMBL308642,COC(=O)CCNC(=O)NC1CCCCC1
CHEMBL267256,O=C(O)c1cc2c3ccccc3nc(O)n2n1
CHEMBL13199,O=C(O)c1ncn2c1c(O)nc1ccccc12
CHEMBL306898,O=C(O)CNC(=O)c1cccc2ccccc12
CHEMBL23592,O=C(O)c1ccccc1Nc1cccc(O)c1
CHEMBL287486,Cc1ccc(S(=O)(=O)NCC(=O)O)cc1
CHEMBL292103,CCSC1CCC2NC1CC2C(=O)OC
CHEMBL34613,O=NN(CCCl)C(=O)Oc1cccnc1
CHEMBL61560,C[N+](C)(CC(=O)O)Cc1ccccc1.[Cl-]
CHEMBL301556,O=C(O)c1cc2c(Cl)cc(Cl)cc2[nH]1
CHEMBL415979,O=C(O)c1nnn2c1c(O)nc1ccccc12
CHEMBL46859,Cc1onc(OCC(=O)O)c1C(N)C(=O)O
CHEMBL295310,NC(Cc1cc(OCC(=O)O)no1)C(=O)O
CHEMBL289897,Nc1cccc(S(=O)(=O)NCC(=O)O)c1
